Model,Accuracy,Recall_NguyCo,Precision_NguyCo,F1_NguyCo,ROC_AUC,Validation_Recall,Validation_F1,Selected
Logistic Regression,0.7975,0.7516778523489933,0.3522012578616352,0.4796573875802998,0.8660974846582673,0.7310344827586207,0.4389233954451346,True
Random Forest,0.845,0.6510067114093959,0.4199134199134199,0.5105263157894737,0.8599416343654813,0.593103448275862,0.4490861618798956,False
Gradient Boosting,0.8916666666666667,0.26174496644295303,0.6610169491525424,0.375,0.8547181016481586,0.19310344827586207,0.28,False
Dummy Baseline,0.8758333333333334,0.0,0.0,0.0,0.5,0.0,0.0,False
