Model,Search_Seconds,Best_Params,CV_AP_mean,CV_AP_std,CV_F1_mean,CV_F1_std,CV_Recall_mean,CV_Recall_std,Threshold,Selected,Validation_Accuracy,Validation_Recall_NguyCo,Validation_Precision_NguyCo,Validation_F1_NguyCo,Validation_F2_NguyCo,Validation_ROC_AUC,Validation_Average_Precision,Validation_TP,Validation_FP,Validation_FN,Validation_TN,Accuracy,Recall_NguyCo,Precision_NguyCo,F1_NguyCo,F2_NguyCo,ROC_AUC,Average_Precision,TP,FP,FN,TN
SVM,17.914834100054577,"{""model__C"": 1.0, ""model__kernel"": ""linear""}",0.5274288805797142,0.05187181000155711,0.46810685249709644,0.017659451550933136,0.7931735773700017,0.030364985881792487,0.1,True,0.745,0.7931034482758621,0.29411764705882354,0.4291044776119403,0.592173017507724,0.8410328485046576,0.4675678068423894,115,276,30,779,0.7675,0.8120805369127517,0.32526881720430106,0.46449136276391556,0.625,0.8673171603905516,0.5464544269336333,121,251,28,800
Logistic Regression,0.7710963999852538,"{""model__C"": 0.1}",0.5266248775759914,0.052853646095755186,0.4678305075797205,0.013072426698767617,0.7839520732110005,0.03787749154181361,0.44,False,0.7533333333333333,0.8,0.3028720626631854,0.4393939393939394,0.6022845275181724,0.840496813204772,0.4624761110840715,116,267,29,788,0.7725,0.8322147651006712,0.3333333333333333,0.4760076775431862,0.640495867768595,0.8669404019182754,0.5474056487101073,124,248,25,803
Random Forest,5.112348799942993,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 10}",0.5094848371267692,0.058116647012287165,0.46867651711491193,0.011570495743988312,0.7583687909807066,0.05039193503734983,0.46,False,0.7641666666666667,0.7724137931034483,0.30939226519337015,0.4418145956607495,0.5944798301486199,0.8298153293021735,0.3995238767145008,112,250,33,805,0.7833333333333333,0.8120805369127517,0.34277620396600567,0.4820717131474104,0.6375131717597471,0.8604205646268495,0.5042144469180632,121,232,28,819
KNN,5.242715200060047,"{""model__n_neighbors"": 21, ""model__weights"": ""distance""}",0.46880081879237084,0.06039425188076039,0.2861396027931563,0.04311852802834212,0.1882746041479944,0.028115484164434584,0.15,False,0.7875,0.6551724137931034,0.31666666666666665,0.42696629213483145,0.5397727272727273,0.7864749142016668,0.3747876953768524,95,205,50,850,0.81,0.6845637583892618,0.36042402826855124,0.4722222222222222,0.5802047781569966,0.8337473419370494,0.5064274251895964,102,181,47,870
Decision Tree,1.008828500052914,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 20}",0.40809598304985617,0.05801744347574979,0.43720431068150223,0.02619066235361146,0.7138849316791672,0.0256445380421222,0.4,False,0.7333333333333333,0.7310344827586207,0.2739018087855297,0.39849624060150374,0.5480868665977249,0.7838470338290571,0.3615371473119839,106,281,39,774,0.7525,0.7718120805369127,0.30423280423280424,0.4364326375711575,0.5903490759753593,0.8369146673988979,0.4452096382214489,115,263,34,788
Dummy Baseline,0.22364360000938177,{},0.1194846911954492,0.0025221046852159533,0.0,0.0,0.0,0.0,0.95,False,0.8791666666666667,0.0,0.0,0.0,0.0,0.5,0.12083333333333333,0,0,145,1055,0.8758333333333334,0.0,0.0,0.0,0.0,0.5,0.12416666666666666,0,0,149,1051
