mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_AP,split1_test_AP,split2_test_AP,split3_test_AP,split4_test_AP,mean_test_AP,std_test_AP,rank_test_AP,split0_train_AP,split1_train_AP,split2_train_AP,split3_train_AP,split4_train_AP,mean_train_AP,std_train_AP,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,split4_train_Recall,mean_train_Recall,std_train_Recall,Model,param_model__C,param_model__max_depth,param_model__min_samples_leaf,param_model__n_neighbors,param_model__weights,param_model__kernel
0.012383127212524414,0.0007565828037519906,0.012045764923095703,0.0005636306502156361,{},0.12215909090909091,0.11813186813186813,0.11740331491712708,0.1228813559322034,0.11684782608695653,0.1194846911954492,0.0025221046852159533,1,0.11878453038674033,0.11977715877437325,0.11995827538247567,0.11860304287690179,0.12011173184357542,0.11944694785281329,0.0006266426984188724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dummy Baseline,,,,,,
0.01821451187133789,0.0010939405825520676,0.013663291931152344,0.0003672110850164743,{'model__C': 0.1},0.5855356098285235,0.49200270862428735,0.48003212858311944,0.5964231466069168,0.4791307942371099,0.5266248775759914,0.052853646095755186,1,0.5220177593086459,0.5476668065589773,0.5533632519386453,0.5234941078096637,0.5517801925823813,0.5396644236396627,0.013938233476873512,0.4870848708487085,0.475177304964539,0.45161290322580644,0.4701492537313433,0.4551282051282051,0.4678305075797205,0.013072426698767617,3,0.4765957446808511,0.48305821025195483,0.4820960698689956,0.48588537211291705,0.4812554489973845,0.4817781691824206,0.003024547635756793,0.7674418604651163,0.7790697674418605,0.8235294117647058,0.7241379310344828,0.8255813953488372,0.7839520732110005,0.03787749154181361,2,0.813953488372093,0.8081395348837209,0.8,0.8279883381924198,0.8023255813953488,0.8104813885687164,0.01000409653922827,Logistic Regression,0.1,,,,,
0.02164740562438965,0.008335623014141827,0.013134193420410157,0.0010509765771987314,{'model__C': 1.0},0.5835030009441551,0.4921975659691534,0.47700341831030146,0.595978949610567,0.4797542205451621,0.5256874310758678,0.05269744147601598,2,0.5217396206983531,0.5480755966812454,0.5517631167865867,0.5227551207712438,0.5501939574313424,0.5389054824737542,0.013655331670692937,0.48148148148148145,0.48226950354609927,0.44660194174757284,0.4666666666666667,0.4630225080385852,0.4680084202960811,0.01318938073496045,2,0.47844463229078615,0.4844290657439446,0.48342059336823734,0.4851569126378287,0.4816753926701571,0.4826253193421907,0.002394804016068384,0.7558139534883721,0.7906976744186046,0.8117647058823529,0.7241379310344828,0.8372093023255814,0.7839247134298788,0.040062101212432956,3,0.8226744186046512,0.813953488372093,0.8028985507246377,0.8338192419825073,0.8023255813953488,0.8151342562158476,0.01200959278390033,Logistic Regression,1.0,,,,,
0.016084671020507812,0.00041553238123998785,0.01240682601928711,0.00025549996629151806,{'model__C': 10.0},0.583194510741401,0.4922071896283128,0.4772793147392952,0.5959128119698512,0.4792884895094054,0.5255764633176531,0.05264169609212064,3,0.5216888255098308,0.5480496493519584,0.5516735681152064,0.5225961977729745,0.5499526514443869,0.5387921784388714,0.013645670350352974,0.48148148148148145,0.4876325088339223,0.44660194174757284,0.46494464944649444,0.46153846153846156,0.46843980860958656,0.014664120370845605,1,0.4809483488569009,0.4835924006908463,0.4851657940663176,0.4855687606112054,0.4816753926701571,0.4833901393790854,0.0018353717285378216,0.7558139534883721,0.8023255813953488,0.8117647058823529,0.7241379310344828,0.8372093023255814,0.7862502948252276,0.04071986509057221,1,0.8255813953488372,0.813953488372093,0.8057971014492754,0.8338192419825073,0.8023255813953488,0.8162953617096124,0.011867345127020727,Logistic Regression,10.0,,,,,
0.0159088134765625,0.0003902580961415759,0.013225650787353516,0.0009788255249573562,"{'model__max_depth': 3, 'model__min_samples_leaf': 5}",0.41177806400369193,0.3528930963167486,0.3431962244246157,0.39625310042175393,0.33003668481743503,0.3668314339968491,0.03159932898076885,4,0.36409283159061556,0.3873639418615883,0.4354207465109153,0.3697984507486798,0.4011301690838249,0.3915612279591248,0.025538091093096207,0.5276595744680851,0.47692307692307695,0.4429530201342282,0.5089285714285714,0.4444444444444444,0.4801817374796812,0.03392425634993257,1,0.49659201557935734,0.49070631970260226,0.4889705882352941,0.5159958720330238,0.5342624854819977,0.5053054562064551,0.017370557163573833,0.7209302325581395,0.7209302325581395,0.7764705882352941,0.6551724137931034,0.6046511627906976,0.6956309259870748,0.05954724063897203,2,0.7412790697674418,0.7674418604651163,0.7710144927536232,0.7288629737609329,0.6686046511627907,0.735440609581981,0.03697020278586068,Decision Tree,,3,5.0,,,
0.01742563247680664,0.002504552004375222,0.019577789306640624,0.0126863028821574,"{'model__max_depth': 3, 'model__min_samples_leaf': 20}",0.41177806400369193,0.3528930963167486,0.3431962244246157,0.39625310042175393,0.3316249030241742,0.36714907763819693,0.031233730896944648,3,0.36409283159061556,0.3873639418615883,0.4354207465109153,0.3697984507486798,0.4310429393609707,0.3975437820145539,0.030163741874099162,0.5276595744680851,0.47692307692307695,0.4429530201342282,0.5089285714285714,0.4351464435146444,0.4783221372937212,0.03602223998935238,2,0.49659201557935734,0.49070631970260226,0.4889705882352941,0.5159958720330238,0.5257142857142857,0.5035958162529126,0.014642934913645222,0.7209302325581395,0.7209302325581395,0.7764705882352941,0.6551724137931034,0.6046511627906976,0.6956309259870748,0.05954724063897203,2,0.7412790697674418,0.7674418604651163,0.7710144927536232,0.7288629737609329,0.6686046511627907,0.735440609581981,0.03697020278586068,Decision Tree,,3,20.0,,,
0.017163753509521484,0.0011106264726073636,0.012343788146972656,0.0008691614698421158,"{'model__max_depth': 6, 'model__min_samples_leaf': 5}",0.4598613370837082,0.3328373653371786,0.3523946286974681,0.41560012659804,0.32902922542184887,0.3779445366276487,0.051397408534681714,2,0.5227466471008531,0.556973917172675,0.6158386232420179,0.5426852733264769,0.5563228904334564,0.5589134702550959,0.031055883452835803,0.4758364312267658,0.42570281124497994,0.39869281045751637,0.4199288256227758,0.40425531914893614,0.4248832395401948,0.02732359907953474,4,0.5447897623400365,0.5536723163841808,0.5376884422110553,0.5221757322175732,0.5280289330922242,0.537271037249014,0.011304796631550337,0.7441860465116279,0.6162790697674418,0.7176470588235294,0.6781609195402298,0.6627906976744186,0.6838127584634495,0.0443268839927316,4,0.8662790697674418,0.8546511627906976,0.9304347826086956,0.9096209912536443,0.8488372093023255,0.881964643144561,0.03226055890583735,Decision Tree,,6,5.0,,,
0.017729854583740233,0.0005145324739758973,0.012489223480224609,0.0001886562452118412,"{'model__max_depth': 6, 'model__min_samples_leaf': 20}",0.4941131216982079,0.39433048944775473,0.3691099782188167,0.4513316513138476,0.3315946745706537,0.40809598304985617,0.05801744347574979,1,0.526833098527001,0.5239528038557818,0.5973139666154396,0.5392726699163114,0.5625099889869061,0.549976505580288,0.02729595524234344,0.48091603053435117,0.44106463878326996,0.40939597315436244,0.44368600682593856,0.410958904109589,0.43720431068150223,0.02619066235361146,3,0.51985559566787,0.521505376344086,0.5262237762237763,0.5053147996729354,0.5110132158590308,0.5167825527535397,0.007558835425589496,0.7325581395348837,0.6744186046511628,0.7176470588235294,0.7471264367816092,0.6976744186046512,0.7138849316791672,0.0256445380421222,1,0.8372093023255814,0.8459302325581395,0.8724637681159421,0.9008746355685131,0.8430232558139535,0.8599002388764261,0.023797544775085916,Decision Tree,,6,20.0,,,
0.1592864990234375,0.006554380394962752,0.023579883575439452,0.0006116867994719371,"{'model__max_depth': 6, 'model__min_samples_leaf': 3}",0.5839828818885887,0.46109470304124206,0.49054360669406716,0.5234239167334843,0.43074022044442617,0.4979570657603617,0.05287891639170518,4,0.6670591306991429,0.6765451545186173,0.6955695350375966,0.6870199836070109,0.6964355469458173,0.684525870161637,0.01130311768053336,0.5,0.4714828897338403,0.46153846153846156,0.48360655737704916,0.48109965635738833,0.47954551300134785,0.012857319142895687,3,0.5510026155187445,0.5727272727272728,0.5703839122486288,0.5711645101663586,0.5730129390018485,0.5676582499325706,0.00838452074643631,0.7558139534883721,0.7209302325581395,0.7764705882352941,0.6781609195402298,0.813953488372093,0.7490658364388257,0.04653189083688936,2,0.9186046511627907,0.9156976744186046,0.9043478260869565,0.9008746355685131,0.9011627906976745,0.9081375155869079,0.007516314105630829,Random Forest,,6,3.0,,,
0.16487407684326172,0.01485914124430945,0.02578139305114746,0.003352275438925067,"{'model__max_depth': 6, 'model__min_samples_leaf': 10}",0.5916205977065715,0.46318720966605154,0.5019550551943381,0.5567333928889633,0.4339279301779217,0.5094848371267692,0.058116647012287165,1,0.6315382266511279,0.6390770393672525,0.6531451673317374,0.6394041460492436,0.653820503062284,0.643397016492329,0.008705304478260551,0.48854961832061067,0.46153846153846156,0.4542372881355932,0.4669260700389105,0.4721311475409836,0.46867651711491193,0.011570495743988312,4,0.5255972696245734,0.539543057996485,0.5428824049513705,0.5421577515865821,0.5397111913357401,0.5379783350989503,0.006328654739496588,0.7441860465116279,0.7325581395348837,0.788235294117647,0.6896551724137931,0.8372093023255814,0.7583687909807066,0.05039193503734983,1,0.8953488372093024,0.8924418604651163,0.8898550724637682,0.8717201166180758,0.8691860465116279,0.883710386653578,0.010992473443669513,Random Forest,,6,10.0,,,
