Model,F1_mean,F1_std,Accuracy_mean,Accuracy_std
Dummy_Baseline,0.788,0.0,0.65,0.0
Logistic_Regression,0.867,0.013,0.833,0.017
Decision_Tree,0.822,0.017,0.785,0.02
Random_Forest,0.856,0.022,0.817,0.028
KNN,0.821,0.019,0.759,0.025
SVM,0.866,0.015,0.832,0.021
